State,Participation,Evidence-Based Reading and Writing,Math,Total,No of SAT Takers,High School Graduates,Percentage
Alabama,5%,593,572,1165,2393,49102,0.04873528573
Alaska,38%,547,533,1080,2971,7770,0.3823680824
Arizona,30%,563,553,1116,20466,67909,0.3013738974
Arkansas,3%,614,594,1208,1065,30904,0.03446155837
California,53%,531,524,1055,226699,425864,0.5323272218
Colorado,11%,606,595,1201,5896,55537,0.1061634586
Connecticut,100%,530,512,1041,43252,41529,1.04148908
Delaware,100%,503,492,996,10060,9572,1.050982031
District of Columbia,100%,482,468,950,4801,5305,0.9049952875
Florida,83%,520,497,1017,147058,177707,0.8275307107
Georgia,61%,535,515,1050,63805,103912,0.6140291785
Hawaii,55%,544,541,1085,7352,13330,0.5515378845
Idaho,93%,513,493,1005,18757,20164,0.9302221781
Illinois,9%,559,556,1115,45622,72021,0.6334541314
Indiana,63%,542,532,1074,45622,72021,0.6334541314
Iowa,2%,641,635,1275,861,34791,0.0247477796
Kansas,4%,632,628,1260,1199,34123,0.03513759048
Kentucky,4%,631,616,1247,1608,45461,0.03537097732
Louisiana,4%,611,586,1198,1696,44319,0.03826801146
Maine,95%,513,499,1012,13826,14624,0.9454321663
Maryland,69%,536,52,1060,42919,62009,0.6921414633
Massachusetts,76%,555,551,1107,56024,73335,0.7639462739
Michigan,100%,509,495,1005,110082,102997,1.068788411
Minnesota,3%,644,651,1295,2061,60915,0.03383403103
Mississippi,2%,634,607,1242,716,28761,0.02489482285
Missouri,3%,640,631,1271,1990,67196,0.02961485803
Montana,10%,605,591,1196,990,9494,0.1042763851
Nebraska,3%,629,625,1253,680,22543,0.03016457437
Nevada,26%,563,553,1116,6245,23919,0.2610895104
New Hampshire,96%,532,520,1052,14758,15446,0.9554577237
New Jersey,70%,530,526,1056,72173,103175,0.6995202326
New Mexico,11%,577,561,1138,2342,20401,0.1147982942
New York,67%,528,523,1052,135141,201290,0.6713746336
North Carolina,49%,546,535,1081,49595,101408,0.4890639792
North Dakota,2%,635,621,1256,123,7522,0.01635203403
Ohio,12%,578,570,1149,14545,123075,0.1181799716
Oklahoma,7%,530,517,1047,2776,40897,0.06787783945
Oregon,43%,560,548,1108,15866,36704,0.4322689625
Pennsylvania,65%,540,531,1071,89218,137536,0.6486883434
Rhode Island,71%,539,524,1062,7205,10158,0.7092931679
South Carolina,50%,543,521,1064,22292,44954,0.4958846821
South Dakota,3%,612,603,1216,237,8405,0.02819750149
Tennessee,5%,623,604,1228,3495,67044,0.05212994451
Texas,62%,513,507,1020,204409,328451,0.6223424499
Utah,3%,624,614,1238,1277,37874,0.03371706184
Vermont,60%,562,551,1114,4303,7160,0.6009776536
Virginia,65%,561,541,1102,57453,87930,0.6533947458
Washington,64%,541,534,1075,43911,68668,0.6394681657
West Virginia,14%,558,528,1086,2406,17477,0.1376666476
Wisconsin,3%,642,649,1291,1780,65189,0.02730522021
Wyoming,3%,626,604,1230,144,5744,0.02506963788
